,"地區
 (北投區/士林區/內湖區/松山區/中山區/大同區/南港區/信義區/大安區/中正區/萬華區/文山區)",,"運動種類
 (重訓/有氧/瑜珈/球類/游泳/戶外運動)",,"設施配備
 (淋浴間/置物櫃/停車場/Wi-Fi)","場館規模
 (大型綜合場所/小型運動場所)", (有/無),(女性專用/無障礙設施/寵物友善/性別友善設施),,,,
國立臺灣科技大學游泳池,大安區,,,,,,,,,臺北市大安區基隆路4段43號,,
國立臺灣大學綜合體育館溫水游泳池,大安區,,,,,,,,,臺北市大安區羅斯福路4段1號,,
國立臺灣大學總區室外游泳池,大安區,,,,,,,,,臺北市大安區羅斯福路4段1號,,
波克萊體能,大安區,,,,,,,,,臺北市大安區新生南路1段111號地下3樓,,
World Gym健身俱樂部台北麗水店,大安區,,,,,,,,,臺北市大安區麗水街18號1樓,,
FIT Taiwan,大安區,,,,,,,,,臺北市大安區敦化南路1段232巷6號地下1樓,,
59Fitness客製化運動空間,大安區,,,,,,,,,臺北市大安區敦化南路2段59號地下1樓,,
台北健身院新生店,大安區,,,,,,,,,臺北市大安區新生南路3段58號地下1樓,,
Super FIT忠孝復興館,大安區,,,,,,,,,臺北市大安區忠孝東路3段227號之2號2樓,,
World Gym健身俱樂部台北統領店,大安區,,,,,,,,,臺北市大安區忠孝東路4段201號3、4樓,,
Curves忠孝敦化店,大安區,,,,,,,,,臺北市大安區忠孝東路4段250號2F-3,,
TLF淬鍊體能訓練中心,大安區,,,,,,,,,臺北市大安區忠孝東路4段303號地下1樓,,
好時光女生運動樂園延吉店,大安區,,,,,,,,,臺北市大安區延吉街239號2樓,,
UFC GYM TAIWAN,大安區,,,,,,,,,臺北市大安區安和路1段27號地下2樓,,
PB SPORT,大安區,,,,,,,,,臺北市大安區金山南路2段33號B1,,
Curves六張犁店,大安區,,,,,,,,,臺北市大安區和平東路3段258號4樓,,
Curves和平科技店,大安區,,,,,,,,,臺北市大安區和平東路2段257號3樓,,
Start Fitness,大安區,,,,,,,,,臺北市大安區金山南路2段134號,,
How How GYM    好好健身,大安區,,,,,,,,,臺北市大安區光復南路180巷6號2樓,,
Core Space,大安區,,,,,,,,,臺北市大安區復興南路2段27號B1,,
HI FIT運動空間,大安區,,,,,,,,,臺北市大安區復興南路1段125號3樓,,
Curves信義永康店,大安區,,,,,,,,,臺北市大安區信義路2段222號2樓,,
健身魂,大安區,,,,,,,,,臺北市大安區信義路3段109號B1,,
World Gym健身俱樂部大安店,大安區,,,,,,,,,臺北市大安區信義路4段6號3樓、4樓、5樓,,
Lioness Studio,大安區,,,,,,,,,臺北市大安區信義路4段261號2樓,,
Curves信義通化店,大安區,,,,,,,,,臺北市大安區信義路4段263號3樓之1,,
Anytime Fitness 台北信義安和店,大安區,,,,,,,,,臺北市大安區信義路4段279號B1-1,,
蜂運動訓練空間,大安區,,,,,,,,,臺北市大安區羅斯福路2段35巷13號1樓,,
MARTIAL ARMOUR MMA＆FITNESS,大安區,,,,,,,,,臺北市大安區羅斯福路2段93號B1,,
FIT ZONE byWorld Gym公館店,大安區,,,,,,,,,臺北市大安區羅斯福路3段281號1樓,,
Pure Yoga 臺北普及瑜珈 (忠孝館),大安區,,,,,,,,,臺北市大安區忠孝東路四段151號,,
ROYAL YOGA 柔昱瑜珈會館,大安區,,,,,,,,,臺北市大安區羅斯福路2段91號地下1樓,,
Friend花式撞球俱樂部,大安區,,,,,,,,,臺北市大安區通化街47、49號地下1樓,,
世運花式撞球場,大安區,,,,,,,,,臺北市大安區復興南路2段157號地下1樓,,
統帥遊樂場,大安區,,,,,,,,,臺北市大安區忠孝東路4段197號9樓之8之10,,
大倉久和大飯店,中山區,,,,,,,,,臺北市中山區南京東路1段9號,,
中山運動中心,中山區,,,,,,,,,臺北市中山區中山北路2段44巷2號,,
榮星公園溫水游泳池,中山區,,,,,,,,,臺北市中山區建國北路3段39號,,
新生公園游泳池,中山區,,,,,,,,,臺北市中山區新生北路3段105號,,
World Gym健身俱樂部大直店,中山區,,,,,,,,,臺北市中山區堤頂大道2段588號及590號,,
北安國中,中山區,,,,,,,,,臺北市中山區明水路325號,,
